City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Port Lincoln,AU,2022-02-23 17:44:18,-34.7333,135.8667,64.54,81,5,14.94
261,Nyurba,RU,2022-02-23 17:44:18,63.2842,118.3319,9.32,96,86,7.18
262,Shelburne,CA,2022-02-23 17:44:19,44.0787,-80.2041,20.75,81,100,21.43
263,Banes,CU,2022-02-23 17:44:19,20.9625,-75.7186,81.21,53,2,16.13
264,Saint Anthony,US,2022-02-23 17:44:20,45.0205,-93.218,7.9,65,0,8.05
265,Riyadh,SA,2022-02-23 17:44:20,24.6877,46.7219,68.14,16,0,9.6
266,Price,US,2022-02-23 17:44:21,39.5994,-110.8107,24.73,63,100,12.66
267,Samarai,PG,2022-02-23 17:44:22,-10.6167,150.6667,79.5,88,100,11.92
268,Ponta Do Sol,PT,2022-02-23 17:44:22,32.6667,-17.1,66.83,46,86,6.55
269,Zeya,RU,2022-02-23 17:44:23,53.75,127.2667,1.62,97,14,2.42
270,Alice Springs,AU,2022-02-23 17:42:09,-23.7,133.8833,63.95,68,0,0.0
271,Fortuna,US,2022-02-23 17:44:23,40.5982,-124.1573,40.93,93,0,3.44
272,Eyl,SO,2022-02-23 17:44:24,7.9803,49.8164,77.45,83,85,16.82
273,Brindisi,IT,2022-02-23 17:44:24,40.5833,17.6667,55.76,66,0,21.92
274,Rocha,UY,2022-02-23 17:44:25,-34.4833,-54.3333,75.34,66,93,11.52
275,Praia,CV,2022-02-23 17:44:25,14.9215,-23.5087,75.74,53,20,23.02
276,Vicuna,CL,2022-02-23 17:44:25,-30.0319,-70.7081,73.78,39,13,8.66
277,Dhidhdhoo,MV,2022-02-23 17:41:28,6.8833,73.1,82.81,67,23,10.8
278,Enniskerry,IE,2022-02-23 17:44:26,53.1925,-6.1692,48.06,82,41,21.23
279,Smithers,CA,2022-02-23 17:44:27,54.7804,-127.1743,14.32,85,100,3.44
280,Severo-Kurilsk,RU,2022-02-23 17:44:27,50.6789,156.125,27.36,87,77,15.5
281,Geraldton,AU,2022-02-23 17:44:28,-28.7667,114.6,72.01,83,0,5.75
282,Esperance,AU,2022-02-23 17:44:28,-33.8667,121.9,67.84,86,69,13.18
283,Cabedelo,BR,2022-02-23 17:44:29,-6.9811,-34.8339,74.07,64,20,11.97
284,Cockburn Town,TC,2022-02-23 17:42:02,21.4612,-71.1419,78.76,61,40,20.71
285,Araouane,ML,2022-02-23 17:44:29,18.9048,-3.5265,88.25,6,0,8.52
286,Hofn,IS,2022-02-23 17:44:30,64.2539,-15.2082,26.62,74,0,8.05
287,Buin,CL,2022-02-23 17:44:30,-33.7333,-70.75,75.42,22,6,7.16
288,Tual,ID,2022-02-23 17:44:31,-5.6667,132.75,83.44,72,100,19.91
289,Komsomolskiy,UZ,2022-02-23 17:44:31,40.4272,71.7189,44.02,56,85,6.91
290,Buala,SB,2022-02-23 17:44:31,-8.145,159.5921,77.58,94,100,9.55
291,Vieques,PR,2022-02-23 17:44:32,18.425,-65.8329,82.67,73,40,14.97
